epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,2.45353,2.50004,3.52949,2.21765,0.03117,1,0.04246,0.04043,0.17882,3.24356,0.73003,8.81376e-05,8.81376e-05,8.81376e-05
8,2.76361,2.33655,3.85162,2.11263,0.02993,1,0.06062,0.0387,0.29193,3.24184,0.74122,0.000100517,0.000100517,0.000100517
9,3.07546,2.43963,3.6487,2.1016,0.0295,1,0.06289,0.0373,0.43551,3.24137,0.75599,0.000112236,0.000112236,0.000112236
10,3.37687,2.16439,3.6805,1.85864,0.0293,1,0.04013,0.03284,0.58241,3.23853,0.77794,0.000123295,0.000123295,0.000123295
11,3.67495,2.18945,3.56429,1.89273,0.02876,1,0.0396,0.03066,0.71173,3.24158,0.8023,0.000133693,0.000133693,0.000133693
12,3.97224,1.91064,3.27292,1.8781,0.02905,1,0.04146,0.03013,0.81843,3.26927,0.83442,0.000143432,0.000143432,0.000143432
13,4.27018,1.84033,3.30694,1.61016,0.02882,1,0.03836,0.02738,0.89806,3.32316,0.88381,0.00015251,0.00015251,0.00015251
14,4.57463,2.08139,3.12143,1.78407,0.0293,1,0.04303,0.0284,0.97771,3.37269,0.95612,0.000160929,0.000160929,0.000160929
15,4.86533,1.66572,2.91994,1.62672,0.02905,1,0.04718,0.02854,1.07466,3.39195,1.0182,0.000168687,0.000168687,0.000168687
16,5.16531,1.95291,2.87131,1.85458,0.0286,1,0.04602,0.02324,1.17173,3.42636,1.09454,0.000175785,0.000175785,0.000175785
17,5.47533,1.60885,2.60621,1.56157,0.0285,1,0.04984,0.02102,1.25981,3.4644,1.17964,0.000182223,0.000182223,0.000182223
18,5.75911,1.71411,2.64189,1.69461,0.0285,1,0.04984,0.02102,1.25981,3.4644,1.17964,0.000188001,0.000188001,0.000188001
19,6.05926,1.51567,2.50306,1.49537,0.02798,1,0.04422,0.01267,1.29945,3.53411,1.28019,0.000193119,0.000193119,0.000193119
20,6.34847,1.71772,2.36707,1.47975,0.02798,1,0.04422,0.01267,1.29945,3.53411,1.28019,0.000197576,0.000197576,0.000197576
21,6.66437,1.67785,2.47205,1.7623,0.02351,0.875,0.03385,0.00763,1.32321,3.57903,1.36317,0.000201374,0.000201374,0.000201374
22,6.95132,1.73884,2.64263,1.71959,0.02351,0.875,0.03385,0.00763,1.32321,3.57903,1.36317,0.000204511,0.000204511,0.000204511
23,7.2556,2.00303,2.7062,1.78302,0.02139,0.8125,0.02834,0.00783,1.38986,3.57911,1.40332,0.000206988,0.000206988,0.000206988
24,7.53453,1.77413,2.99373,1.56312,0.02139,0.8125,0.02834,0.00783,1.38986,3.57911,1.40332,0.000208805,0.000208805,0.000208805
